NAMA,,,,:,,,,,Minat Unit Kerja :,,,,,,,,,,,,,,,,
NIP,,,,:,,,,,,,,,,,,,,,,,,,,,
UNIT KERJA,,,,:,,,,,,,,,,,,,,,,,,,,,
TANGGAL TEST,,,,:,,,,,,,,,,,,,,,,,,,,,
DISC Self-Assessment,,,,,,,,,
"Petunjuk:
1. Untuk setiap nomor dibawah ini, pilihlah satu karakterisktik yang paling cocok dengan diri anda dan beri tanda silang (x) di kolom M.
2. Kemudiam, pilih salah satu karakteristik yang lain yang paling tidak cocok dengan diri anda dan beri tanda silang (X) di kolom J.
3. Lakukan kedua langkah di atas untuk ke-24 nomor di bawah ini.

Jawablah dengan cepat. Keseluruhan ini biasanya dapat dijawab dalam waktu 7 - 10 menit."
,M,,J,,,M,,J
1.0,,,,"Mudah bergaul, ramah",13.0,,,,Menginginkan kemajuan
,,,,"Penuh Kepercayaan, Percaya kepada orang lain",,,,,"Puas dengan beberapa hal, Mudah puas"
,,,,"Petualang, pengambil resiko",,,,,Menggambarkan perasaan secara terbuka
,,,,"Toleran, penuh hormat",,,,,"Rendah hati, Sederhana"
,,,,,,,,
2.0,,,,"Lembut, pendiam",14.0,,,,"Tenang, Pendiam"
,,,,"Optimis, pengkhayal",,,,,"Bahagia, Riang"
,,,,"Pusat perhatian, mudah bersosialisasi",,,,,"Menyenangkan, Baik"
,,,,"Pembuat perdamaian, membawa ketenangan",,,,,"Tegas, berani"
,,,,,,,,
3.0,,,,Mendorong orang lain,15.0,,,,Menghabiskan waktu berharga dengan orang lain
,,,,Berjuang demi kesempurnaan,,,,,"Merencanakan masa depan, menyiapkan diri"
,,,,Menjadi bagian Tim,,,,,Perjalanan menuju petualangan baru
,,,,Ingin mencapai tujuan,,,,,Mendapat penghargaan jika mencapai tujuan
,,,,,,,,
4.0,,,,Menjadi frustasi,16.0,,,,Peraturan perlu ditolak
,,,,Memendam perasaan dalam hati,,,,,Peraturan membuat adil
,,,,Menceritakan sisi kehidupan,,,,,Peraturan membuat bosan
