,Jenis,,Tanggal,,,Most,,,,,Least,,,,,Change,,,,,Cek,,,,,13
Nama,Kelamin,Nomor,Tes,Posisi,Tujuan,D,I,S,C,B,D,I,S,C,B,D,I,S,C,B,M,L,Grafik1,Grafik2,Grafik3,Kepatuhan Internal
Andre Setiawan,Pria,,2021-04-05T00:00:00,,profiling,2.0,0.0,4.0,10.0,8.0,6.0,7.0,3.0,1.0,7.0,-4.0,-7.0,1.0,9.0,,47,24,C,CS,CS,#ERROR!
Helmi Kurniawan,Pria,,,,profiling,3.0,3.0,7.0,4.0,7.0,7.0,4.0,2.0,6.0,5.0,-4.0,-1.0,5.0,-2.0,,46,24,SC,SCI,SC,#ERROR!
Indah Nopitasari,Wanita,,,,profiling,0.0,1.0,11.0,4.0,8.0,16.0,3.0,0.0,2.0,3.0,-16.0,-2.0,11.0,2.0,,43,24,SC,SCI,SC,#ERROR!
Ayub Putra Utama,Pria,,,,profiling,3.0,4.0,8.0,2.0,7.0,7.0,6.0,1.0,2.0,8.0,-4.0,-2.0,7.0,0.0,,49,24,SI,SC,SC,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,#ERROR!,#ERROR!,#ERROR!,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,,,,,,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,profiling,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,undershift,uppershift,tight profile,#ERROR!
