JOB ANALYSIS FORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PETUNJUK:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"- Dibawah ini ada 24 pernyataan, berikan penilaian berdasarkan tingkat keseringannya.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SJ = Sangat Jarang,,,,,,,(Kurang dari 25% waktunya digunakan untuk melakukan pekerjaan yang dimaksud),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,J    = Jarang,,,,,,,(25% - 50 % waktunya digunakan untuk melakukan pekerjaan yang dimaksud),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S   = Sering,,,,,,,(51% - 75% waktunya digunakan untuk melakukan pekerjaan yang dimaksud),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SS = Sangat Sering,,,,,,,(Lebih dari 75% waktunya digunakan untuk melakukan pekerjaan yang dimaksud),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PEKERJAAN/POSISI YANG DIANALISIS :,,,,,,,,,,,,,,,,,,,,,Pelaksana Assessment Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,,,Bekerja langsung dibawah pengawasan (supervisi langsung),,,,,,,,,,2.0,,,Harus mampu berinteraksi secara mantap dengan orang yang baru dikenal,,,,,,,,,,3.0,,,Persisten dalam mengikuti pola-pola kerja atau prosedur yang ditetapkan,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SJ,,J,,,S,,SS,,,,,,SJ,,J,,,S,,SS,,,,,,SJ,,J,,,S,,SS,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,,,Memiliki kemampuan untuk memotivasi orang lain,,,,,,,,,,5.0,,,Harus berada terus menerus pada satu lokasi atau satu area,,,,,,,,,,6.0,,,Mampu membujuk atau mempengaruhi orang lain,,,,,,,,,,,,,,,,,,,
