Recalculation job position,,,,,POS,,,,kuadran untuk job title,,,,,,,,,,,,,,,,,,,,,,
1.0,1,C,,D,-9,,,,,,Q_job,,,,,,,,,,,,,,,,,,,,
2.0,1,I,,I,-9,,,,-12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
3.0,2,S,,S,8,,,,-11.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
4.0,-2,I,,C,11,,,,-10.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,
5.0,1,S,,,,,,,-9.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,
6.0,-2,I,,,,,,,-8.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,
7.0,2,C,,,,,,,-7.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,
8.0,-1,D,,,,,,,-6.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,
9.0,-1,D,,,,,,,-5.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,
10.0,2,C,,,,,,,-4.0,11.0,3.0,,,,,,,,,,,,,,,,,,,,
11.0,-2,I,,,,,,,-3.0,12.0,3.0,,,,,,,,,,,,,,,,,,,,
12.0,2,S,,,,,,,-2.0,13.0,4.0,,,,,,,,,,,,,,,,,,,,
13.0,2,S,,,,,,,-1.0,14.0,4.0,,,,,,,,,,,,,,,,,,,,
14.0,-2,I,,,,,,,0.0,16.0,4.0,,,,,,,,,,,,,,,,,,,,
15.0,2,C,,,,,,,1.0,18.0,5.0,,,,,,,,,,,,,,,,,,,,
16.0,2,C,,,,,,,2.0,19.0,5.0,,,,,,,,,,,,,,,,,,,,
17.0,-2,D,,,,,,,3.0,20.0,5.0,,,,,,,,,,,,,,,,,,,,
18.0,1,C,,,,,,,4.0,21.0,6.0,,,,,,,,,,,,,,,,,,,,
19.0,-2,D,,,,,,,5.0,22.0,6.0,,,,,,,,,,,,,,,,,,,,
20.0,1,S,,,,,,,6.0,23.0,6.0,,,,,,,,,,,,,,,,,,,,
21.0,-2,I,,,,,,,7.0,25.0,7.0,,,,,,,,,,,,,,,,,,,,
22.0,1,C,,,,,,,8.0,26.0,7.0,,,,,,,,,,,,,,,,,,,,
23.0,-1,D,,,,,,,9.0,27.0,7.0,,,,,,,,,,,,,,,,,,,,
24.0,-2,D,,,,,,,10.0,28.0,8.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11.0,29.0,8.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.0,31.0,8.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
