Karakter
PROFIL,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
C,Akurat,Analitis,Hati-hati,Penuh Kesadaran,Menemukan fakta,Ketepatan,Standar tinggi,Sistimatis,,,,8
CD,Metodologis,Analitis,Kekuatan ego yang besar,Memecahkan masalah,Dapat diandalkan,Sangat berorientasi kepada tugas,,,,,,6
CDI,Metodologis,Analitis,Kekuatan ego yang besar,Memecahkan masalah,Dapat diandalkan,Sangat berorientasi kepada tugas,,,,,,6
CDS,Analitis,Metodologis,Kekuatan ego yang besar,Menentukan tujuan,Mampu memecahkan masalah,Kompetitif,Kemauannya keras,Pendiam,Berorientasi kepada tugas,,,9
CI,Kreatif,Artistik,Keinginan untuk diakui tentang diri dan kemampuannya,Antusias dan optimis,Persuasif,Aktif berbicara,,,,,,6
CID,Metodologis,Analitis,Kekuatan ego yang besar,Memecahkan masalah,Pekerja yang dapat diandalkan,Sangat berorientasi kepada tugas,,,,,,6
CIS,Antusias,Optimis,Praktis,Mengerjakan dengan benar sejak awal,Kreatif,Artistik,,,,,,6
CS,Hati-hati,Posesif,Sensitif,Mudah diprediksi,Lambat untuk berubah,,,,,,,5
CSD,Hati-hati,Posesif,Sensitif,Mudah diprediksi,Lambat untuk berubah,,,,,,,5
CSI,Hati-hati,Posesif,Sensitif,Mudah diprediksi,Lambat untuk berubah,,,,,,,5
D,Mengambil keputusan,Langsung/direct,Kekuatan ego yang besar,Memecahkan masalah,Berani mengambil resiko,Dominan,Penggerak,,,,,7
DC,Kekuatan ego yang besar,Alanitis,Metodologis,Memecahkan masalah,Dapat diandalkan,Sangat berorientasi kepada tugas,,,,,,6
DCI,Ekstrovert,Optimis,Komunikator ulung,Terampil mengatur pekerjaan orang lain,Memotivasi dan mempengaruhi orang lain,Memiliki keinginan dan dorongan energi yang besar,Berbicara sesuai fakta,,,,,7
DCS,Bersahabat,Tenang,Loyal,Teguh mencapai tujuan,Membuat dan mengevaluasi metode baru,,,,,,,5
DI,Ekstrovert,Optimis,Komunikator ulung,Terampil mengatur pekerjaan orang lain,Memotivasi dan mempengaruhi orang lain,Memiliki keinginan dan dorongan energi yang besar,,,,,,6
DIC,Ekstrovert,Optimis,Komunikator ulung,Terampil mengatur pekerjaan orang lain,Memotivasi dan mempengaruhi orang lain,Memiliki keinginan dan dorongan energi yang besar,,,,,,6
DIS,Ekstrovert,Optimis,Komunikator ulung,Terampil mengatur pekerjaan orang lain,Memotivasi dan mempengaruhi orang lain,Memiliki keinginan dan dorongan energi yang besar,,,,,,6
DS,Bersahabat,Tenang,Loyal,Menentukan tujuan,Dorongan untuk mencapai tujuan,Membuat dan mengevaluasi metode baru,,,,,,6
DSC,Bersahabat,Tenang,Loyal,Menentukan tujuan,Dorongan untuk mencapai tujuan,Membuat dan mengevaluasi metode baru,,,,,,6
DSI,Bersahabat,Tenang,Loyal,Menentukan tujuan,Dorongan untuk mencapai tujuan,Membuat dan mengevaluasi metode baru,,,,,,6
I,Komunikator yang baik,Menciptakan kesan yang menyenangkan,Antusias,Optimis,Persuasif,,,,,,,5
IC,Kreatif,Artistik,Keinginan untuk diakui tentang diri dan kemampuannya,Antusias,Optimis,Persuasif,Aktif berbicara,,,,,7
ICD,Kreatif,Artistik,Keinginan untuk diakui tentang diri dan kemampuannya,Antusias,Optimis,Persuasif,Aktif berbicara,,,,,7
ICS,Loyal,Dapat diandalkan,Berorientasi pada manusia,Optimis,Praktis,,,,,,,5
ID,Antusias,Inovatif,Optimis,Persuasif,Aktif berbicara,Bersaing untuk mendapatkan pengakuan diri,,,,,,6
