D,aspek,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,jml item
Karakteristik umum,karak,Aktif dan Optimis,Ambisius,Ingin cepat mendapatkan hasil,Mengarahkan,Keinginannya kuat,Cepat mengambil keputusan,Menantang,Independen,Penentu,9
emosi,e_kek,Percaya diri,Berkemauan keras,Tekun dan ulet,Berani dan tegar,Menghadapi hidup tanpa kompromi,,,,,5
,e_kel,Pendiriannya sangat keras,Terlalu cepat mengambil keputusan,"Tidak sabaran, suka menekan","Pendobrak, pemberontak",Kurang peka terhadap perasaan orang lain,Tidak menyukai keluhan dan kesedihan,,,,6
Perilaku kerja,pk_kek,Organisator dan promotor,Cepat bertindak,Berani memutuskan dalam keadaan mendesak,Memiliki intuisi tajam,Memberi inspirasi,Berani mengambil resiko,Target oriented,Berusaha keras mencapai sasaran,Menyukai pekerjaan di lapangan,9
,pk_kel,Terlalu percaya diri,Kurang menghargai pendapat orang lain,Cenderung suka mengakali,"Kurang analitis, jemu dengan hal detail",Memaksa orang lain mengikuti jalan pikirannya,Sering terlalu cepat menyimpulkan sesuatu,Impulsif,,,7
Relasi Sosial,rel_kek,Pemimpin yang tangguh dan efektif,Penggerak semangat,Memberi motivasi bagi orang lain,Tidak mudah menyerah dalam situasi sulit,,,,,,4
,rel_kel,Ambisius,Ingin menguasai orang lain,"Cenderung ""Bossy"" dan tinggi hati",Ingin berkuasa,Memperalat orang lain untuk kepentingan sendiri,,,,,5
Situasi kerja yang diinginkan…,sit,"Bebas, tidak didikte orang lain",Memiliki otoritas dan wewenang,Tugas-tugas yang sulit,Tugas-tugas yang menantang,Ada kesempatan untuk maju dan berkembang,,,,,5
Senang Bekerja dengan tipe orang yang…,coc,"Memberikan jawaban langsung, tidak berbelit-belit",Berpegang teguh pada bisnis / busineslike,Menekankan pada akal sehat/logika,Suka memberi tekanan,Memberi kebebasan/kesempatan untuk pencapaian prestasi pribadi,,,,,5
Bagaimana berkomunikasi dengan efektif,do,Bersikap praktis,Memberikan output yang jelas,"Singkat, jelas, dan to the point",Fokus terhadap hasil bukan proses,"Lebih memperhatikan fakta, bukan orang","Cepat, tidak bertele-tele.",,,,6
,don’t,Terlalu banyak basa-basi,Sok kenal sok dekat,Membuat generalisasi,Mengemukakan sesuatu tanpa fakta,Mengulang-ulang kata yang sama,,,,,5
Cara-cara pengembangan diri,dev,Jadilah seorang pendengar yang aktif,Lebih mendengarkan ide dari anggota tim agar tercapai konsensus bersama,Kurangi sikap mendominasi atau mengontrol orang lain,"Hargai perasaan, opini dan keinginan orang lain",Tunjukkan dukungan terhadap anggota tim,Agar lebih sabar,Terlebih dahulu mengumpulkan fakta,Lebih bersahabat dan lebih mudah didekati,,8

I,karak,Inspirator,Komunikator,Membuat kesan yang menyenangkan,Keinginan untuk membantu orang lain,Senang menjalin kontak sosial,Antusias,Demonstratif,Persuasif,Optimis,9
Emosi,e_kek,Hangat dan bersemangat,Berkharisma,Antusias,Ekspresif,Aktif,Enerjik,Meyakinkan,Memberikan semangat,Hangat,9
,e_kel,Terlalu reaktif,"Kurang tenang, tidak kalem",Cenderung melebih-lebihkan sesuatu,Pandai berpura-pura/basa basi,"Terlalu bergairah, meledak-ledak",Keputusannya sering berdasarkan emosi,,,,6
Perilaku kerja,pk_kek,Mampu memberi kesan awal positif,Mudah menyesuaikan diri dalam situasi baru,Sanggup mengembangkan antusiasme dan gairah kerja,,,,,,,3
,pk_kel,"Tidak teratur, acak-acakan",Tidak ketat dalam disiplin diri,Banyak waktu terbuang karena mengobrol berlebihan,Kurang efektif untuk tugas yang ketat dan urgent,Mudah berubah-ubah,,,,,5
Relasi Sosial,rel_kek,Mudah bergaul,Selalu bersikap bersahabat dan tersenyum,"Mudah memaafkan, tidak pendendam","Lembut hati, simpatik",Mau berbagi kegembiraan dan kesedihan dengan orang lain,,,,,5
,rel_kel,Sering mendominasi percakapan,Kemauannya kurang kuat,Pendiriannya lemah,Mengharapkan pujian,Mendambakan pengakuan,Banyak bercerita tentang diri sendiri,Terkadang melebih-lebihkan fakta sebenarnya,Mudah berjanji dan lupa kewajibannya,,8
,sit,Prestise,Bergengsi,Hubungan yang akrab,Suasana yang hangat,Ada kesempatan memotivasi orang lain,Bebas dari pengawasan,Tidak suka hal detail,,,7
,coc,Demokratis,Bersahabat,Senang bergaul di luar jam kantor,Terbuka dan ramah,Bisa menerima kelebihan orang lain,Senang mengambil resiko,,,,6
Bagaimana berkomunikasi dengan efektif,do,Dengarkanlah saat ia berbicara,Biarkanlah jika ia melakukan interupsi,Bangunlah suasana yang nyaman,Hal-hal yang detil berikanlah secara tertulis,Ajak untuk turut menyampaikan pendapatnya,,,,,5
,don’t,Berikan waktu berbicara yang sangat terbatas,Memerintah mereka untuk berbuat sesuatu,Interupsi sewaktu dia berbicara,,,,,,,3
,dev,Manajemen waktu perlu ditingkatkan,Lebih terfokus pada hasil,Fokus pada fakta dan hal-hal detail,Menindaklanjuti janji/tugas-tugas,Mempertimbangkan aspek positif dan negatif sebelum mengambil keputusan,"Kurangi bicara, lebih banyaklah mendengarkan",Mempertimbangkan ide-ide dari anggota tim,,,7

S,karak,Santai/ rileks,Mengakomodasi berbagai hal,Loyal,Konsisten,Sistematis,Perilakunya mudah diramalkan,Pendengar yang baik,Tulus,Empati yang tinggi,9
Emosi,e_kek,"Tenang, cinta damai",Ramah,Sopan santun,Baik hati/ lembut hati,Tidak emosional,Sabar,Setia,,,7
,e_kel,Kurang percaya diri,Cenderung pemalu,"Pesimis, penakut, selalu khawatir",Kompromistis,Membenarkan diri sendiri,,,,,5
Perilaku kerja,pk_kek,Tekun,"Praktis, sederhana dalam bekerja",Konservatif,"Stabil, Konsisten","Rapi, tertib, teratur",Membuat rencana sebelum bekerja,,,,6
,pk_kel,"Lamban, statis",Terlalu hati-hati,Cenderung menghindari resiko,Menolak/takut pada perubahan,Membutuhkan jaminan dan kepastian,Perlu waktu untuk meyakinkan & menyetujui sesuatu,,,,6
Relasi Sosial,rel_kek,Menyenangkan untuk diajak bersahabat,Mempunyai banyak teman,Diplomatis,Pendamai,Suka mengalah,Pendengar yang baik,Setia dan mau berkorban,,,7
,rel_kel,Kurang mau melibatkan diri,Tidak antusias,Kurang bersemangat,Keras kepala,Egosentris/  terpusat pada diri sendiri,Cenderung hemat,"Diam, tapi merasa unggul dari orang lain",,,7
,sit,Ada prosedur/ pola yang tetap,Menjadi bagian dari kelompok,Situasi yang aman dan bersahabat,Adanya dukungan dari orang lain atau atasan,Tanggung jawab yang terbatas,,,,,5
,coc,Santai/ rileks,Ramah dan bersahabat,Senang memberi dorongan/dukungan pada orang lain,"Banyak bertanya ""Bagaimana?""","Memberikan kejelasan tugas, prosedur dan peraturan yang jelas",Mengijinkan bekerja sendiri sesuai aspirasi dan kreativitas pribadi,,,,6
Bagaimana berkomunikasi dengan efektif,do,Ciptakanlah suasana yang nyaman,Tunjukkanlah ketulusan Anda,Sabar,Segala sesuatunya harus ringkas dan jelas,Mintalah dukungan dari dia,Berikan kesempatan untuk menyesuaikan diri,Yakinkan mereka dukungan secara personal,,,7
,don’t,Terlalu banyak menuntut,Menunjukkan konfrontasi,Mengkritik pekerjaannya secara langsung,Terlalu sering berubah-ubah,,,,,,4
,dev,Usahakan agar lebih fleksibel,Lebih percaya diri,Bersedia menggunakan metode lain,Berusaha menerima perubahan,Berani mengambil keputusan,Lebih fokus pada tujuan keseluruhan tim daripada terpaku pada prosedur,Tunjukkan inisiatif,"Ekspresikan perasaan, pikiran dan pendapat dalam bekerja",,8

C,karak,Ketepatan,Kualitas,Rinci,Berpikir kritis,Hati-hati,Analitis,Cermat,Sensitif,Standar Tinggi,9
Emosi,e_kek,Konservatif,Pemikir,Sadar akan mutu,Mematuhi aturan,Diplomatis,Waspada,,,,6
,e_kel,Menyalahkan diri sendiri,Cenderung Rigid,"Pesimis, seringkali berpikir negatif",Sedih tanpa alasan,Sangat berhati-hati,Over Sensitif,Sulit memutuskan,,,7
Perilaku kerja,pk_kek,Perfeksionis,Senang pada detail,Senang pada rincian yang rumit,Tekun dan akurat,Berbakat dan cerdas,Kreatif dan memiliki intelektual tinggi,Pemikir dan menganalisa,,,7
,pk_kel,Tidak tegas,"Terlalu banyak teori, kurang praktis",Terlalu banyak menganalisa,Ragu-ragu untuk memulai proyek baru,Ragu untuk mencipta/ berinovasi,Terlalu banyak berpikir,Terlalu terpaku pada hal detail,,,7
Relasi Sosial,rel_kek,Rela berkorban,Setia,Tulus,Hati-hati dalam berteman,Mampu menghayati persahabatan,Mampu berempati,,,,6
,rel_kel,Mengkritik kekurangan,Curiga pada orang lain,Sulit mempercayai orang lain,Mudah tersinggung,Pendendam,Mendambakan kesempurnaan,Tidak puas terhadap prestasi yang telah dicapai,,,7
,sit,Tugas dan pekerjaan yang jelas,Situasi kerja yang aman dan tenang,Resiko yang kecil/ terbatas,Pekerjaan yang terencana,Pekerjaan yang memerlukan pemikiran,Pekerjaan yang memerlukan ketelitian,,,,6
,coc,Memberikan rasa aman dan tenteram,"Memberikan kejelasan tugas, stabilitas kerja dan standar kerja yang terperinci",Banyak berbicara tentang fakta dan data,Memiliki keahlian teknis tertentu,Membawa dirinya menjadi bagian dari tim,,,,,5
Bagaimana berkomunikasi dengan efektif,do,Persiapan harus detil,Gunakan pendekatan sistematis dan jelas,Lakukanlah analisis Pro and Kontra,Ide dan pernyataan harus didukung dengan data,Harus spesifik,"Sabar dalam menjelaskan, dan diplomatis","Bila tidak setuju,  tidak setujulah terhadap fakta bukan pada orangnya",Yakinkan padanya bahwa tidak akan ada hal yang muncul diluar rencana,,8
,don’t,Menolak untuk menjelaskan secara detail,Menjawab pertanyaan dengan sambil lalu dan terburu-buru,Menciptakan suasana konflik dan argumentasi,,,,,,,3
,dev,Lebih membuka diri,Mau menerima dan mengakui emosinya dengan jujur,"Jangan terlalu fokus pada fakta, perhatikan pula manusianya","Kurangi sikap mengkritisi ide, pendapat dan metode orang lain",Lebih hangat dan toleran terhadap diri sendiri dan orang lain,Berani mengambil resiko,Berani membuat keputusan,,,7




















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































