,,,,,,,,,,,,,,,,,,
Grafik1,,,,,,,,,,,,,,,,,,
D,pos1D,seg1D,seg1D16,,I,pos1I,seg1I,seg1I16,,S,pos1S,seg1S,seg1S16,,C,pos1C,seg1C,seg1C16
0.0,4.0,1.0,1.0,,0.0,3.0,1.0,2.0,,0.0,5.0,2.0,3.0,,0.0,4.0,1.0,2.0
1.0,6.0,2.0,3.0,,1.0,7.0,2.0,4.0,,1.0,7.0,2.0,4.0,,1.0,7.0,2.0,4.0
2.0,9.0,3.0,5.0,,2.0,11.0,3.0,6.0,,2.0,10.0,3.0,5.0,,2.0,10.0,3.0,5.0
3.0,11.0,3.0,6.0,,3.0,15.0,4.0,7.0,,3.0,14.0,4.0,7.0,,3.0,14.0,4.0,7.0
4.0,14.0,4.0,7.0,,4.0,18.0,5.0,10.0,,4.0,15.0,4.0,8.0,,4.0,18.0,5.0,10.0
5.0,14.0,4.0,8.0,,5.0,22.0,6.0,11.0,,5.0,18.0,5.0,9.0,,5.0,21.0,6.0,11.0
6.0,16.0,4.0,8.0,,6.0,23.0,6.0,12.0,,6.0,18.0,5.0,10.0,,6.0,22.0,6.0,11.0
7.0,18.0,5.0,9.0,,7.0,26.0,7.0,13.0,,7.0,22.0,6.0,11.0,,7.0,26.0,7.0,13.0
8.0,18.0,5.0,10.0,,8.0,27.0,7.0,14.0,,8.0,22.0,6.0,11.0,,8.0,27.0,7.0,14.0
9.0,21.0,6.0,11.0,,9.0,29.0,8.0,15.0,,9.0,24.0,6.0,12.0,,9.0,28.0,7.0,14.0
10.0,22.0,6.0,11.0,,10.0,30.0,8.0,15.0,,10.0,26.0,7.0,13.0,,10.0,28.0,8.0,15.0
11.0,23.0,6.0,12.0,,11.0,31.0,8.0,16.0,,11.0,26.0,7.0,13.0,,11.0,30.0,8.0,15.0
12.0,24.0,6.0,12.0,,12.0,31.0,8.0,16.0,,12.0,27.0,7.0,14.0,,12.0,30.0,8.0,16.0
13.0,26.0,7.0,13.0,,13.0,32.0,8.0,16.0,,13.0,28.0,7.0,15.0,,13.0,31.0,8.0,16.0
14.0,26.0,7.0,13.0,,14.0,32.0,8.0,16.0,,14.0,30.0,8.0,15.0,,14.0,31.0,8.0,16.0
15.0,30.0,8.0,15.0,,15.0,32.0,8.0,16.0,,15.0,31.0,8.0,16.0,,15.0,32.0,8.0,16.0
16.0,31.0,8.0,16.0,,16.0,32.0,8.0,16.0,,16.0,31.0,8.0,16.0,,16.0,32.0,8.0,16.0
17.0,31.0,8.0,16.0,,17.0,32.0,8.0,16.0,,17.0,31.0,8.0,16.0,,17.0,32.0,8.0,16.0
18.0,32.0,8.0,16.0,,18.0,32.0,8.0,16.0,,18.0,32.0,8.0,16.0,,,,,
19.0,32.0,8.0,16.0,,19.0,32.0,8.0,16.0,,19.0,32.0,8.0,16.0,,,,,
20.0,32.0,8.0,16.0,,,,,,,20.0,32.0,8.0,16.0,,,,,
21.0,32.0,8.0,16.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Grafik2,,,,,,,,,,,,,,,,,,
D,pos2D,seg2D,seg2D16,,I,pos2I,seg2I,seg2I16,,S,pos2S,seg2S,seg2S16,,C,pos2C,seg2C,seg2C16
0.0,31.0,8.0,16.0,,0.0,31.0,8.0,16.0,,0.0,32.0,8.0,16.0,,0.0,32.0,8.0,16.0
1.0,30.0,8.0,15.0,,1.0,28.0,7.0,14.0,,1.0,31.0,8.0,16.0,,1.0,31.0,8.0,16.0
2.0,25.0,7.0,13.0,,2.0,24.0,6.0,12.0,,2.0,28.0,7.0,14.0,,2.0,28.0,7.0,14.0
3.0,22.0,6.0,11.0,,3.0,22.0,6.0,11.0,,3.0,24.0,6.0,12.0,,3.0,24.0,6.0,12.0
4.0,19.0,5.0,10.0,,4.0,18.0,5.0,9.0,,4.0,22.0,6.0,11.0,,4.0,22.0,6.0,11.0
5.0,18.0,5.0,9.0,,5.0,16.0,4.0,8.0,,5.0,19.0,5.0,10.0,,5.0,19.0,5.0,10.0
6.0,16.0,4.0,8.0,,6.0,12.0,3.0,6.0,,6.0,18.0,5.0,9.0,,6.0,18.0,5.0,9.0
7.0,15.0,4.0,8.0,,7.0,9.0,3.0,5.0,,7.0,14.0,4.0,8.0,,7.0,16.0,4.0,8.0
8.0,14.0,4.0,7.0,,8.0,8.0,2.0,6.0,,8.0,12.0,3.0,6.0,,8.0,14.0,4.0,8.0
9.0,11.0,3.0,6.0,,9.0,6.0,2.0,3.0,,9.0,10.0,3.0,5.0,,9.0,11.0,3.0,6.0
10.0,10.0,3.0,5.0,,10.0,4.0,1.0,2.0,,10.0,7.0,2.0,4.0,,10.0,9.0,3.0,5.0
11.0,10.0,3.0,5.0,,11.0,3.0,1.0,2.0,,11.0,6.0,2.0,3.0,,11.0,6.0,2.0,3.0
12.0,7.0,2.0,4.0,,12.0,2.0,1.0,1.0,,12.0,4.0,1.0,2.0,,12.0,5.0,2.0,3.0
13.0,6.0,2.0,3.0,,13.0,2.0,1.0,1.0,,13.0,3.0,1.0,2.0,,13.0,4.0,1.0,2.0
14.0,5.0,2.0,3.0,,14.0,1.0,1.0,1.0,,14.0,3.0,1.0,1.0,,14.0,3.0,1.0,2.0
15.0,4.0,1.0,2.0,,15.0,1.0,1.0,1.0,,15.0,2.0,1.0,1.0,,15.0,2.0,1.0,1.0
16.0,3.0,1.0,2.0,,16.0,1.0,1.0,1.0,,16.0,2.0,1.0,1.0,,16.0,1.0,1.0,1.0
17.0,2.0,1.0,2.0,,17.0,1.0,1.0,1.0,,17.0,2.0,1.0,1.0,,17.0,1.0,1.0,1.0
18.0,2.0,1.0,1.0,,18.0,1.0,1.0,1.0,,18.0,1.0,1.0,1.0,,,,,
19.0,1.0,1.0,1.0,,19.0,1.0,1.0,1.0,,19.0,1.0,1.0,1.0,,,,,
20.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Grafik3,,,,,,,,,,,,,,,,,,
D,pos3D,seg3D,seg3D16,,I,pos3I,seg3I,seg3I16,,S,pos3S,seg3S,seg3S16,,C,pos3C,seg3C,seg3C16
-21.0,1.0,1.0,1.0,,-19.0,1.0,1.0,1.0,,-19.0,1.0,1.0,1.0,,-22.0,1.0,1.0,1.0
-20.0,2.0,1.0,1.0,,-18.0,2.0,1.0,1.0,,-18.0,2.0,1.0,1.0,,-21.0,1.0,1.0,1.0
-19.0,2.0,1.0,2.0,,-17.0,2.0,1.0,2.0,,-17.0,2.0,1.0,1.0,,-20.0,1.0,1.0,1.0
-18.0,3.0,1.0,2.0,,-16.0,2.0,1.0,2.0,,-16.0,2.0,1.0,1.0,,-19.0,1.0,1.0,1.0
-17.0,3.0,1.0,2.0,,-15.0,2.0,1.0,2.0,,-15.0,2.0,1.0,1.0,,-18.0,2.0,1.0,2.0
-16.0,3.0,1.0,2.0,,-14.0,2.0,1.0,2.0,,-14.0,3.0,1.0,2.0,,-17.0,2.0,1.0,2.0
-15.0,4.0,1.0,2.0,,-13.0,2.0,1.0,2.0,,-13.0,3.0,1.0,2.0,,-16.0,2.0,1.0,2.0
-14.0,4.0,1.0,2.0,,-12.0,2.0,1.0,2.0,,-12.0,3.0,1.0,2.0,,-15.0,2.0,1.0,2.0
-13.0,4.0,1.0,2.0,,-11.0,3.0,1.0,2.0,,-11.0,3.0,1.0,2.0,,-14.0,3.0,1.0,2.0
-12.0,5.0,2.0,3.0,,-10.0,3.0,1.0,2.0,,-10.0,3.0,1.0,2.0,,-13.0,3.0,1.0,2.0
-11.0,5.0,2.0,3.0,,-9.0,4.0,1.0,2.0,,-9.0,7.0,2.0,4.0,,-12.0,3.0,1.0,2.0
-10.0,8.0,2.0,4.0,,-8.0,5.0,2.0,3.0,,-8.0,8.0,2.0,4.0,,-11.0,3.0,1.0,3.0
-9.0,10.0,3.0,5.0,,-7.0,7.0,2.0,4.0,,-7.0,10.0,3.0,5.0,,-10.0,4.0,2.0,3.0
-8.0,10.0,3.0,5.0,,-6.0,8.0,2.0,4.0,,-6.0,10.0,3.0,5.0,,-9.0,7.0,2.0,4.0
-7.0,10.0,3.0,5.0,,-5.0,10.0,3.0,5.0,,-5.0,13.0,4.0,7.0,,-8.0,8.0,2.0,4.0
-6.0,11.0,3.0,6.0,,-4.0,10.0,3.0,5.0,,-4.0,14.0,4.0,7.0,,-7.0,10.0,3.0,5.0
-5.0,12.0,4.0,6.0,,-3.0,13.0,4.0,7.0,,-3.0,14.0,4.0,8.0,,-6.0,11.0,3.0,6.0
-4.0,14.0,4.0,7.0,,-2.0,14.0,4.0,7.0,,-2.0,15.0,4.0,8.0,,-5.0,11.0,3.0,6.0
-3.0,14.0,4.0,8.0,,-1.0,16.0,4.0,8.0,,-1.0,16.0,4.0,8.0,,-4.0,15.0,4.0,8.0
-2.0,15.0,4.0,8.0,,0.0,18.0,5.0,9.0,,0.0,19.0,5.0,10.0,,-3.0,16.0,4.0,8.0
-1.0,15.0,4.0,8.0,,1.0,18.0,5.0,10.0,,1.0,19.0,5.0,10.0,,-2.0,18.0,5.0,9.0
0.0,16.0,4.0,8.0,,2.0,19.0,5.0,10.0,,2.0,21.0,6.0,11.0,,-1.0,18.0,5.0,10.0
