Karakter,,,,,,,,,,,
PROFIL,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,
C,Accurate,Analytical,Beware,Full of awareness,Factual Data,Accuracy,High standard,Systematic,,,,8
CD,Methodological,Analytical,High Ego Strength,Problem Solver,Reliable,Very task-oriented,,,,,,6
CDI,Methodological,Analytical,High Ego Strength,Problem Solver,Reliable,Very task-oriented,,,,,,6
CDS,Analytical,Methodological,High Ego Strength,Determine the goal,Problem Solver,Competitive,Strong will,withdrawn,Task-oriented,,,9
CI,Creative,Artistic,Accomplishes goals through people,Enthusiastic and Optimistic,Persuasive,Talkative,,,,,,6
CID,Methodological,Analytical,High Ego Strength,Problem Solver,Reliable worker,Very task-oriented,,,,,,6
CIS,Enthusiastic,Optimistic,Practical,Do the right thing from the beginning,Creative,Artistic,,,,,,6
CS,Beware,Possessive,Sensitive,Predictable,Slow to change,,,,,,,5
CSD,Beware,Possessive,Sensitive,Predictable,Slow to change,,,,,,,5
CSI,Beware,Possessive,Sensitive,Predictable,Slow to change,,,,,,,5
D,Determine decision,Direct,High Ego Strength,Problem Solver,Risk Taker,Dominance,Tangible Result,,,,,7
DC,High Ego Strength,Analytical,Methodological,Problem Solver,Reliable,Very task-oriented,,,,,,6
DCI,Extrovert,Optimistic,High Ego Strength,People Mover,Initiative Demands,Having passion and big energy boost,Direction,,,,,7
DCS,Friendly,Calm,Loyal,Personal accomplishment,Ability to achieve concrete results,Accountability for own work,,,,,,6
DI,Extrovert,Optimistic,Excellent communicator,Controlling their environment or audiences,Motivate and influence others,Natural leader and spokesperson,Intimidation,,,,,7
DIC,Extrovert,Optimistic,Excellent communicator,Controlling their environment or audiences,Motivate and influence others,Natural leader and spokesperson,Intimidation,,,,,7
DIS,Extrovert,Optimistic,Excellent communicator,Controlling their environment or audiences,Motivate and influence others,Natural leader and spokesperson,,,,,,6
DS,Friendly,Calm,Loyal,Determine the goal,Drive to reach goal,Able to create new method,,,,,,6
DSC,Friendly,Calm,Loyal,Determine the goal,Drive to reach goal,Able to create new method,,,,,,6
DSI,Friendly,Calm,Loyal,Determine the goal,Drive to reach goal,Able to create new method,,,,,,6
I,Good communicator,Creating a pleasant impression,Enthusiastic,Optimistic,Persuasive,,,,,,,5
IC,Creative,Artistic,Ability to initiate activities,Enthusiastic,Optimistic,Persuasive,Talkative,,,,,7
ICD,Creative,Artistic,Ability to initiate activities,Enthusiastic,Optimistic,Persuasive,Talkative,,,,,7
ICS,Loyal,Reliable,Human-oriented,Optimistic,Practical,,,,,,,5
ID,Enthusiastic,Innovative,Optimistic,Persuasive,Talkative,Compete to get a confession,,,,,,6
IDC,Enthusiastic,Innovative,Optimistic,Persuasive,Talkative,Reliable,Compete to get a confession,,,,,7
IDS,Enthusiastic,Innovative,Optimistic,Persuasive,Talkative,Full attention,Compete to get a confession,,,,,7
IS,Enthusiastic,Innovative,Optimistic,Loyal,Patient,Drive to reach goal,,,,,,6
ISC,Loyal,Reliable,Human-oriented,Able to lead and to be lead wih the same enthusiasm,Optimistic,Practical,,,,,,6
ISD,Enthusiastic,Innovative,Optimistic,Loyal,Patient,Determinant,Drive to reach goal,,,,,7
S,Good listener,Team participants,Possessive,Calm,Predictable,Understanding others,Very friendly,Able to emphatize,,,,8
SC,Beware,Possessive,Sensitive,Slow to change,Predictable,Avoid confrontation,Harbored feeling,,,,,7
SCD,Beware,More thought on process,Slow to change,Predictable,Big preferences,Ineffective work when in hurry,,,,,,6
SCI,Calm,Loyal,Enthusiastic,Optimistic,Patient,,,,,,,5
SD,Friendly,Calm,Loyal,Determine the goal,Drive to reach goal,Able to create new method,,,,,,6
SDC,Friendly,Calm,Loyal,Determine the goal,Drive to reach goal,Able to create new method,,,,,,6
SDI,Enthusiastic,Innovative,Optimistic,Loyal,Patient,Drive to reach goal,,,,,,6
SI,Enthusiastic,Innovative,Optimistic,Loyal,Patient,Drive to reach goal,,,,,,6
SIC,Calm,Loyal,Enthusiastic,Optimistic,Patient,,,,,,,5
SID,Enthusiastic,Innovative,Optimistic,Loyal,Patient,Drive to reach goal,,,,,,6
,,,,,,,,,,,
Karakteristik Pekerjaan yang sesuai,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,
C,Jobs requires accuracy,Analyze the problem deeply,Critical approach in solving problems,Explain task thoroughly and systematically,Comply the standard operating procedures,Designing and developing programs,Gathering detailed information,Conduct programs evaluation ,"Verification, validation, and control work",,,9
D,Jobs that require rapid decision making,Result-oriented work,Competitive jobs and many challenges,Free from  detail and specific work ,Using the power and authority,Taking of an idea and run it,Various activities,Free from the direct supervision,Reach the new ideas,,,9
I,Corresponding with others,Jobs requires persuasive approach,Perform inspiring verbalization,Active and high mobility,Opportunity to present new concept,Develop a new different activity ,Jobs that change quickly ,Jobs that involves relationships with others,provide guidance and direction to others,,,9
S,Jobs that require patience,Comply standard procedure,Policy clarification before step across,"Gather information, facts and data",prepare supporting materials,Storing and maintaining documents,Routine work and administratively,Implement and manage the work according to the rules,Jobs requires consistency in the long term,,,9
,,,,,,,,,,,
Kekuatan,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,
C,Following directions or standards,Controlling quality,Concentrating on detail,Being diplomatic with people,Checking for accuracy,Complying with superior,Adhering to procedure,Avoiding trouble,Criticising performance,,,9
D,Getting results,Accepting challenges,Making Decisions,Questioning status quo,Taking authority,Trouble shooting,Solving problems,Venturing into the unknown,have a sharp intuition,,,9
I,Contacting people,Making favourable impressions,Verbalising accurately,Motivating people to act,Desiring to help others,Generating enthusiasm,Entertaining people,Participating in community affairs,Radiating optimism,,,9
S,Performing accepted work pattern,Sitting or staying at one place,Exhibiting patience,Developing special skills,Concentrating on work,Satisfaction with job level,Demonstrating loyalty,Reflecting composure,Being a good listener,,,9
,,,,,,,,,,,
Kelemahan,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,
C,lean on supevisor,Hesitate to act without precedent,Be bound by procedures and methods,get bogged down in details,Resist acceptance of responsibility,Over Sensitive,Pass the buck,Yield position to avoid controversy,Be defensive when threatened,,,9
D,Overstep prerogratives,Act restlessly,Inspire fear in other,Over-ride people,Be critical and fault-finding,Be inattentive to little  things,Be dissatisfied with routine work,Resist participation as part of a team,"Lack Analytics, bored with the details",,,9
I,More concerned with popularity than tangible result,Oversell,Act impulsivelly,Be inconsistent in conclusions,Make decision based on surface analysis,Be unrealistic in appraising people,Be inattentive to detail,Trust people easily,Be superficial,,,9
S,Lack of confident,Take a long time to adjust to change,Have trouble meeting deadline,Compromising,lack imagination,Hold a gruge,Wait for orders before acting,Tend to avoid risk,Resisting / fear of change,,,9
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
PROFIL,type,desc1,desc2,,,,,,,RAND()*(b-a)+a,
C,Objective thinker,"is very practical, proper and discrete.  He/She may be self-evaluating and critical of himsel/herself and others.  He/She enjoys details and logic; He/She is very analytical in nature.  Because He/She internalizes information, He/She analyzes issues over and over again.  He/She tends to be shy and inhibited; He/She makes decisions slowly based on logic, not emotion, asking ""how and why"" questions.  He/She performs in a precise and systematic way.  He/She desires neatness and organization because He/She feels that messiness equates poor quality; likewise, neatness equates high quality.  He/She is very precise in the tasks on which He/She works and how he/she spends his/her time.  He/She plans and organizes all areas of |hisher life.  Tardiness annoy  him/her and disruptions are not tolerated.  ","Karakteristik umum dirinya adalah seorang yang kritis, analitis, sistimatis, hati-hati dan memiliki standar kualitas yang tinggi. Dalam menghadapi persoalan, ia akan menganalisisnya secara mendalam, mengumpulkan bukti-bukti pendukung serta mampu menjabarkannya secara rinci. Hanya saja, perasaannya sensitif dan mudah tersinggung. Ia menganggap kritik atau perbedaan pendapat yang disampaikan kepadanya adalah suatu kelemahan diri karena ia menganggap bahwa dirinya selalu memberikan hasil yang sempurna. Ia juga tidak dapat mengekspresikan emosinya tersebut secara terbuka, ia lebih banyak memendamnya dan mengontrol perasaannya tersebut. Dalam lingkungan sosial, ia juga cenderung hanya menjadi pengikut saja karena kurang mampu berkomunikasi verbal, mempengaruhi orang lain. Ia lebih menyukai berkomunikasi dengan tulisan. Hal yang paling ditakuti adalah apabila terjadi konflik personal, dimana ia harus berhadapan dan berargumentasi dengan orang lain. Dalam situasi penuh tekanan, ia cenderung menarik diri bahkan menjadi keras kepala.",,,,,,2,1,2,2
CD,Creative,"is an extremely task-oriented person who is sensitive to problems.   He/She cares more about the task at hand than the people that are around him/her and how their feelings.  He/She is very determined and has an approach to thinking that allows for effective problem solving.  Because of his/her driven nature and desire for tangible results, He/She may come across as unfeeling or even cool and distant.  He/She makes decisions based on facts, not on emotions.  He/She tends to be quiet and does not trust easily. ","Dalam mengambil keputusan, ia membuat keputusan berdasarkan fakta-fakta, bukan berdasarkan pada emosi, sehingga akan sulit bagi dirinya untuk memutuskan sesuatu yang belum didasarkan pada data-data yang ada. Ia memiliki standar tinggi, Ia merasa hanya dirinyalah yang dapat mengerjakan pekerjaannya dengan baik, menyebabkan seluruh waktunya tercurahkan pada penyelesaian tugas tersebut dan tidak memerlukan orang lain untuk membantu menyelesaikan tugasnya tersebut.",,,,,,2,2,2,2
