Job ID,Job Title,D,I,S,C,,32.0,,Job Title:,,,,,,,,,Pelayanan Perizinan dan Pengadministrasian KP dan TPS,0,-2,2,4,,,,jobrD,jobrI,jobrS,jobrC
Pn9944,Pengolah Database Kepegawaian,-9.0,-9.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,3.0,6.0,5.0,6.0
A 1215,Analis Profil Pegawai ,-1.0,-2.0,-1.0,5.0,,,,,,,,,,,,,,,,,,,,,3.0,7.0,6.0,4.0
Cr4642,Client Coordinator,-4.0,6.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,3.0,4.0,7.0,6.0
An21168,Analis Intelijen,-2.0,-11.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Ag78108,Analis Keberatan dan Banding,-7.0,-8.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
I)04103,Intelijen Taktis (Surveillence),0.0,4.0,-10.0,3.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
AW117106,Analyzing Point INSW,-11.0,-7.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
An1210102,Analis Hico Scan,-12.0,-10.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
An4399,Analis Penindakan,-4.0,-3.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pk1166,Penyidik,-1.0,-1.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pt12645,Pemeriksa Fisik Barang Import,-12.0,-6.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Cm0546,Custom Narcotics Team,0.0,-5.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Kl4117,Kepatuhan Internal,4.0,-1.0,-1.0,7.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pn1658,Penindakan Lapangan,1.0,-6.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Ja7033,Juru Sita,-7.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
PE12893,PPDE,-12.0,-8.0,9.0,3.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Kr2450,Koordinator Hanggar,-2.0,-4.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
B 91298,Bendahara Keuangan ,-9.0,-12.0,9.0,8.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pn49910,Pengelola Data Keuangan,-4.0,-9.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pn0043,Petugas Penertiban Formulir kendaraan,0.0,0.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Ba0005,Bendahara Penerima,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pi6542,Publikasi dan Dokumentasi,-6.0,5.0,-4.0,2.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Er4700,Even Organizer,4.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Ka8632,Koordinator Media,8.0,6.0,-3.0,2.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pg1124,Pelayanan Pendok PIB Jalur Merah dan Kuning,-1.0,1.0,-2.0,4.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pn11140,Petugas Pendistribusian Dokumen,-11.0,-1.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pn3280,Petugas Penerima Kelengkapan Dokumen,-3.0,-2.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Ph61125,Pengelola Barang Contoh,-6.0,-11.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
PB4242,Pengelola Arip Dokumen PIB,-4.0,-2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
P512862,Penerima Dokumen PIB Manual BC 2.5,-12.0,-8.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
PD5462,Penata Usaha Kegiatan Administrasi PFPD,-5.0,-4.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
