jobdict,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,,jum_job,,jd_D,jd_I,jd_S,jd_C
C,Accountant,Engineering,Planner,Programmer / Software Engineer,Researcher,Investment Analysis,Underwriter,Librarian,"""Quality Controller""",ACADEMIC,CHEMIST TECHNICIAN,ENGINEER INSTALLATION,GOVERNMENT WORKER,PRISON OFFICER,STATISTICIAN,TECHNICAL ENGINEER,TECHNICAL RESEARCH,IT MANAGEMENT,QUALITY CONTROLLER,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,-2.0,-5.0,-1.0,5.0
CD,Chemist,Engineering,Technician,Finance,Safety Officer,Accountant,"""Quality Controller""",Production Planning/management,Statistic,ACCOUNTANT,BOOKKEEPER,CHEMIST,FINANCIAL PLANNING,PLANNING MANAGER,DESIGN ENGINEER,LIBRARIAN,RESEARCH ENGINEER,SAFETY OFFICER,TECHNICIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,4.0,-4.0,-10.0,7.0
CDI,Managing or Supervising,Director,Designer,Company Secretary,Lecturer,Negotiator,Justice & Law,Creator,Project Leader,SUPERVISOR,SYSTEMS ANALYST,TECHNICAL SALES,COMPANY SECRETARY,LOGISTIC SUPPORT,MANAGEMENT,NEGOTIATOR,PURCHASING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,7.0,3.0,-7.0,10.0
CDS,Accountant,Administrator,Chemist,Design Engineering,Financial Planner,Quality Controller,MIS Manager,Security Manager,Safety Officer,ACCOUNTANT,ADMINISTRATION,ADMINISTRATOR,CHEMIST RESEARCH,ENGINEERING SUPERVISOR,ENGINEERING SUPERVISOR,FINANCIAL ADVISOR,FINANCIAL MANAGER,FINANCIAL RESEARCHER,FINANCIAL SERVICES MANAGER,PERSONNEL MANAGEMENT,PERSONNEL MANAGER,PLANNER,PRINTER,PRODUCTION CONTROLLER,PRODUCTION MANAGER,PRODUCTION SERVICE AND DESIGN,PUBLIC RELATIONS - ADMINISTRATION,SYSTEMS ANALYST,TECHNICAL SALES AND SERVICE,COMPUTER PROGRAMMER,ELECTRICIAN,LABORATORY TECHNICIAN,LEGAL,MANAGEMENT INFORMATION SYSTEMS,MARKET ANALYST,MARKET ANALYST,OFFICE ADMINISTRATOR,PERSONNEL ADMINISTRATION,PURCHASING,QUALITY CONTROLLER,RESEARCH AND DEVELOPMENT SUPERVISOR,RESEARCH DIRECTOR,SAFETY OFFICER,SECURITY MANAGER,,44,,6.0,-2.0,3.0,8.0
CI,Techincal Sales,Academic,Lecturer,Personnel Administration,Purchasing,Travel Agent,Training,Purchasing,Service Engineer,ACADEMIC,HOSPITALITY ADMINISTRATION,PUBLIC RELATIONS - ADMINISTRATION,SERVICE - ENGINEER,TEACHER - ADMINISTRATION,PERSONNEL ADMINISTRATION,PURCHASING,REAL ESTATE AGENT,SALES - SPECIALIST,SALES - TECHNICAL,TRAVEL AGENT,,,,,,,,,,,,,,,,,,,,,,,,,,20,,-8.0,2.0,-3.0,5.0
CID,Managing or Supervising,Director,Designer,Company Secretary,Lecturer,Negotiator,Justice & Law,Pilot,Project Leader,SUPERVISOR,SYSTEMS ANALYST,TECHNICAL SALES,COMPANY SECRETARY,LOGISTIC SUPPORT,MANAGEMENT,NEGOTIATOR,PURCHASING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,2.0,6.0,-4.0,9.0
CIS,Engineering & Production,Clinical Therapist,College & University Faculty,Stylist,Administrator,Finance,Market Analyst,System Analyst,Sales - Specialist,Photographers,Personnel Clerk,Hair Stylist,College And University Faculty,Database Administrator,Civil Engineering Technician,Accounting - General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,1.0,2.0,-8.0,4.0
CS,Administrator,"Researcher (Technician, Chemist, Quality Control)","Tax Preparer, Loan Officer",Computer Programmer,Medical Specialist,"Procurement, Cashier","Clerk, Typist, Database Administrator, Time Keeper",Engineering Manager,Environmental Analyst,ACCOUNTING - GENERAL,ARCHITECT,ARMED FORCES,HEALT CARE,PLANNER,PRODUCTION,PSYCHOLOGIST,STATISTICIAN,SURGEON,SURVEYOR,COMPUTER PROGRAMMER,DENTAL TECHNICIAN,DENTIST,DRAUGHTSMAN,IT MANAGEMENT,MEDICAL SPECIALIST,OPTICIAN,RESEARCHER,TECHNICAL WRITING,TECHNICIAN,,,,,,,,,,,,,,,,,29,,-2.0,-4.0,6.0,7.0
CSD,Electrical Engineer,Quality Assurance Supervisor,Bagian Personalia,Production Controller,Safety Officer,Market Analyst,Planner,MIS Manager,Loss Controller,ACCOUNTANT,ADMINISTRATION,ADMINISTRATOR,CHEMIST RESEARCH,ENGINEERING SUPERVISOR,ENGINEERING SUPERVISOR,FINANCIAL ADVISOR,FINANCIAL MANAGER,FINANCIAL RESEARCHER,FINANCIAL SERVICES MANAGER,PERSONNEL MANAGEMENT,PERSONNEL MANAGER,PLANNER,PRINTER,PRODUCTION CONTROLLER,PRODUCTION MANAGER,PRODUCTION SERVICE AND DESIGN,PUBLIC RELATIONS - ADMINISTRATION,SYSTEMS ANALYST,TECHNICAL SALES AND SERVICE,COMPUTER PROGRAMMER,ELECTRICIAN,LABORATORY TECHNICIAN,LEGAL,MANAGEMENT INFORMATION SYSTEMS,MARKET ANALYST,MARKET ANALYST,OFFICE ADMINISTRATOR,PERSONNEL ADMINISTRATION,PURCHASING,QUALITY CONTROLLER,RESEARCH AND DEVELOPMENT SUPERVISOR,RESEARCH DIRECTOR,SAFETY OFFICER,SECURITY MANAGER,,44,,3.0,-3.0,5.0,6.0
CSI,Administrator,"Researcher (Technician, Chemist, Quality Control)","Tax Preparer, Loan Officer",Computer Programmer,Medical Specialist,"Procurement, Cashier","Clerk, Typist, Database Administrator, Time Keeper",Engineering Manager,Environmental Analyst,Accounting - General,Architect,Armed Forces,Healt Care,Planner,Production,Psychologist,Statistician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,-2.0,3.0,6.0,8.0
